X	Y	Z	Distance (m)	Slope (deg)
0	0	0	3550	15
0	0	0	3560	15
0	0	0	3570	15
0	0	0	3580	15
0	0	0	3590	15
0	0	0	3600	15
0	0	0	3610	15
0	0	0	3620	15
0	0	0	3630	15
0	0	0	3640	15
0	0	0	3650	15
0	0	0	3660	15
0	0	0	3670	15
0	0	0	3680	15
0	0	0	3690	15
0	0	0	3700	15
0	0	0	3710	15
0	0	0	3720	15
0	0	0	3730	15
0	0	0	3740	15
0	0	0	3750	15
0	0	0	3760	15
0	0	0	3770	15
0	0	0	3780	15
0	0	0	3790	15
0	0	0	3800	15
0	0	0	3810	15
0	0	0	3820	15
0	0	0	3830	15
0	0	0	3840	15
